method,ic,n,M,dx,dt,tau,dt_factor,t_final,runtime_sec,runtime_median_sec,n_timing_repeats,stable,mean_err,var_err,w2_to_exact,energy_err,signed_mass_err,min_density,energy_increases,mu_T,var_T,mu_exact,var_exact
jko,gaussian,,60,,,0.2,,1.0,0.015189334000751842,,,True,0.03399797250664488,0.017922360013409966,0.039993535549879694,0.015330708597187881,0.0,0.0,0,0.4018774136780872,0.3844470722586526,0.36787944117144233,0.36652471224524263
jko,gaussian,,60,,,0.1,,1.0,0.028900124998472165,,,True,0.01766374934592002,0.005865253801224102,0.02097373400019062,0.007690285325559876,0.0,0.0,0,0.38554319051736236,0.37238996604646674,0.36787944117144233,0.36652471224524263
jko,gaussian,,60,,,0.05,,1.0,0.0690885839976545,,,True,0.009009949051709154,0.0002291751714130208,0.011036626299403855,0.003877017086360457,0.0,0.0,0,0.3768893902231515,0.3662955370738296,0.36787944117144233,0.36652471224524263
jko,gaussian,,60,,,0.025,,1.0,0.14488120800160686,,,True,0.004551316376708747,0.003278921714905181,0.006036177490362631,0.0019745916408257513,0.0,0.0,0,0.3724307575481511,0.36324579053033745,0.36787944117144233,0.36652471224524263
jko,gaussian,,60,,,0.0125,,1.0,0.27736300000105985,,,True,0.0022868869581252893,0.004802646167040403,0.003641902017203045,0.0010243966174721675,0.0,0.0,0,0.3701663281295676,0.36172206607820223,0.36787944117144233,0.36652471224524263
jko,gaussian,,120,,,0.2,,1.0,0.018608542002766626,,,True,0.033998181461747934,0.021350858633625402,0.03976981243509072,0.015324194365609611,0.0,0.0,0,0.40187762263319027,0.38787557087886804,0.36787944117144233,0.36652471224524263
jko,gaussian,,120,,,0.1,,1.0,0.03874145899681025,,,True,0.017663294301279997,0.009158641872164863,0.02070184023783101,0.007666768593519113,0.0,0.0,0,0.38554273547272233,0.3756833541174075,0.36787944117144233,0.36652471224524263
jko,gaussian,,120,,,0.05,,1.0,0.07675458299854654,,,True,0.009010813795431838,0.002996060053819638,0.010717538843545163,0.0038468280459122983,0.0,0.0,0,0.37689025496687417,0.3695207722990623,0.36787944117144233,0.36652471224524263
jko,gaussian,,120,,,0.025,,1.0,0.15541729200049303,,,True,0.004551186507450455,8.812944821789959e-05,0.005650422804034831,0.0019407496255743895,0.0,0.0,0,0.3724306276788928,0.36643658279702473,0.36787944117144233,0.36652471224524263
jko,gaussian,,120,,,0.0125,,1.0,0.3010075419988425,,,True,0.0022872535034159647,0.0016289341918417355,0.0031704773776150726,0.0009891967492128284,0.0,0.0,0,0.3701666946748583,0.3648957780534009,0.36787944117144233,0.36652471224524263
jko,gaussian,,240,,,0.2,,1.0,0.024678916997800115,,,True,0.0339979905177597,0.023071382281863784,0.03965016551558495,0.015320515104638999,0.0,0.0,0,0.40187743168920204,0.3895960945271064,0.36787944117144233,0.36652471224524263
jko,gaussian,,240,,,0.1,,1.0,0.047667665996414144,,,True,0.01766426566341578,0.010809705341958797,0.020559107699946594,0.007654861296585713,0.0,0.0,0,0.3855437068348581,0.37733441758720143,0.36787944117144233,0.36652471224524263
