c,duration,window,observed_end,exact_end,abs_error,mean_law_rmse
1.0,0.5,"[2.0, 2.5]",0.3883196198772369,0.3934693402873666,0.005149720410129677,0.0016196953888828207
1.0,1.0,"[2.0, 3.0]",0.625622410865855,0.6321205588285577,0.0064981479627026495,0.0026975648761005883
1.0,2.0,"[2.0, 4.0]",0.8596729964001099,0.8646647167633873,0.004991720363277441,0.0037228300205526138
2.0,0.5,"[2.0, 2.5]",0.7790149280813663,0.7869386805747332,0.007923752493366853,0.0026414195632368576
2.0,1.0,"[2.0, 3.0]",1.2534640595410704,1.2642411176571153,0.010777058116044902,0.0045178860750035195
2.0,2.0,"[2.0, 4.0]",1.7203511562252345,1.7293294335267746,0.008978277301540105,0.0063231957271006785
3.0,0.5,"[2.0, 2.5]",1.171324789238782,1.1804080208620997,0.009083231623317811,0.0034325675286213347
3.0,1.0,"[2.0, 3.0]",1.8832542025270116,1.896361676485673,0.013107473958661409,0.005668898984301517
3.0,2.0,"[2.0, 4.0]",2.5820545452920434,2.593994150290162,0.011939604998118636,0.007938191252230909
